Player,Pitcher,T,PA,AB,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GIDP,Current Tm,Player-additional
Nick Castellanos,Connor Overton,R,4,3,2,2,0,0,2,1,1,0.667,0.75,1.333,2.083,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=overto000con&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Kyle Wright,R,4,3,1,0,0,0,1,1,2,0.333,0.5,0.333,0.833,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=wright003kyl&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Justin Steele,L,3,3,2,1,0,0,0,0,0,0.667,0.667,1,1.667,0,0,0,0,0,CHC,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=steele000jus&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Mason Thompson,R,3,3,2,1,0,0,1,0,0,0.667,0.667,1,1.667,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=thomps000mas&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Julio Teherán,R,3,3,1,0,0,0,1,0,0,0.333,0.333,0.333,0.667,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=tehera001jul&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Marcus Stroman,R,3,1,0,0,0,0,1,1,0,0,0.333,0,0.333,0,1,0,0,0,NYY,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=stroma001mar&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Gavin Stone,R,3,3,1,1,0,0,1,0,1,0.333,0.333,0.667,1,0,0,0,0,0,LAD,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=stone-000gav&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Julio Urías,L,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=urias-000jul&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Abner Uribe,R,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,MIL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=uribe-000abn&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Blake Snell,L,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,SFG,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=snell-000bla&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Drew Smyly,L,3,3,2,1,0,1,4,0,0,0.667,0.667,2,2.667,0,0,0,0,0,CHC,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=smyly-001tod&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Framber Valdez,L,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=valdez005fra&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Michael Wacha,R,3,2,1,0,0,0,0,1,0,0.5,0.667,0.5,1.167,0,0,0,0,0,KCR,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=wacha-001mic&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Devin Smeltzer,L,3,3,1,0,0,0,1,0,1,0.333,0.333,0.333,0.667,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=smeltz000dev&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Jared Shuster,L,3,3,1,0,1,0,2,0,0,0.333,0.333,1,1.333,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=shuste000jar&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,JP Sears,L,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,OAK,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=sears-000jp-&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Joey Wentz,L,3,2,2,1,0,0,1,1,0,1,1,1.5,2.5,0,0,0,0,0,DET,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=wentz-000joe&year_min=2023&year_max=2023&seasons_type=forall
